,dQALY,Centers,"WTP of 1 GDP Per Capita","Base Prime","Prevention 1","Prevention 2",Frontier
,13218,,,,,11.373,
,15774,,,,,12.524,
,10324,,,,,12.996,
,8377,,,,,14.924,
,2516,,,,,14.935,
,9700,,,,,14.69,
,12376,,,,,15.091,
,12467,,,,,11.263,
,14997,,,,,14.308,
,8821,,,,,14.655,
,10506,,,,,15.656,
,5326,,,,,12.866,
,7501,,,,,14.284,
,16364,,,,,15.757,
,10753,,,,,12.778,
,15601,,,,,15.822,
,9885,,,,,12.478,
,8644,,,,,10.401,
,10777,,,,,14.321,
,7035,,,,,10.65,
,8615,,,,,12.634,
,8596,,,,,14.049,
,10005,,,,,15.486,
,11141,,,,,13.586,
,10547,,,,,9.863,
,7991,,,,,13.369,
,13311,,,,,13.437,
,13558,,,,,13.954,
,19627,,,,,10.191,
,13745,,,,,11.17,
,10640,,,,,12.148,
,0,,,,,15.046,
,9476,,,,,11.969,
,14557,,,,,12.358,
,18885,,,,,15.88,
,8410,,,,,13.586,
,15081,,,,,15.617,
,7833,,,,,12.661,
,4681,,,,,13.972,
,9852,,,,,15.533,
,8948,,,,,14.96,
,16966,,,,,14.306,
,9693,,,,,14.05,
,15264,,,,,14.606,
,8736,,,,,15.435,
,17909,,,,,15.821,
,8034,,,,,14.365,
,15460,,,,,14.627,
,13116,,,,,15.103,
,29310,,,,,14.292,
,16230,,,,,14.155,
,6488,,,,,14.796,
,21834,,,,,14.829,
,4895,,,,,12.307,
,13780,,,,,15.328,
,10312,,,,,15.966,
,13772,,,,,14.533,
,19203,,,,,15.699,
,16043,,,,,11.364,
,5949,,,,,13.454,
,15110,,,,,10.3,
,4042,,,,,12.047,
,11636,,,,,13.078,
,4523,,,,,14.049,
,11532,,,,,14.391,
,16234,,,,,15.855,
,13724,,,,,15.037,
,10216,,,,,15.21,
,7317,,,,,12.151,
,10480,,,,,13.107,
,16733,,,,,11.66,
,2098,,,,,15.012,
,22063,,,,,14.852,
,9603,,,,,12.983,
,7293,,,,,14.501,
,19817,,,,,12.506,
,9412,,,,,13.592,
,16215,,,,,10.234,
,13065,,,,,12.02,
,10061,,,,,14.388,
,2474,,,,,14.227,
,3089,,,,,11.641,
,5198,,,,,13.291,
,7740,,,,,12.578,
,14611,,,,,14.235,
,12789,,,,,14.182,
,11978,,,,,7.645,
,12861,,,,,15.806,
,11334,,,,,15.866,
,14223,,,,,16.016,
,3139,,,,,13.036,
,2271,,,,,14.942,
,11224,,,,,10.878,
,18482,,,,,10.783,
,8640,,,,,11.989,
,6935,,,,,9.004,
,6703,,,,,10.901,
,12733,,,,,14.695,
,13224,,,,,12.955,
,8685,,,,,15.451,
,9950,,,,,9.897,
,6837,,,,,13.861,
,6710,,,,,10.895,
,10131,,,,,11.474,
,9650,,,,,11.126,
,13131,,,,,11.858,
,13102,,,,,15.834,
,14015,,,,,15.046,
,9020,,,,,14.218,
,12527,,,,,14.929,
,14561,,,,,11.791,
,13108,,,,,10.049,
,17173,,,,,15.193,
,10028,,,,,15.26,
,7236,,,,,10.409,
,11465,,,,,13.646,
,6654,,,,,12.67,
,1492,,,,,13.517,
,7643,,,,,13.454,
,10481,,,,,13.902,
,7427,,,,,14.097,
,5254,,,,,11.335,
,11259,,,,,14.694,
,10871,,,,,15.485,
,8680,,,,,10.824,
,16906,,,,,11.669,
,11259,,,,,15.426,
,11251,,,,,10.869,
,16097,,,,,12.494,
,11071,,,,,11.891,
,20366,,,,,13.35,
,19765,,,,,15.208,
,8759,,,,,15.092,
,5099,,,,,12.677,
,16528,,,,,14.759,
,21925,,,,,15.434,
,6775,,,,,15.062,
,14908,,,,,15.746,
,5644,,,,,14.641,
,8638,,,,,11.256,
,1011,,,,,15.093,
,17611,,,,,14.876,
,15437,,,,,11.875,
,9513,,,,,10.498,
,27294,,,,,14.177,
,9908,,,,,9.665,
,11389,,,,,13.413,
,5516,,,,,15.523,
,17027,,,,,15.979,
,4147,,,,,12.851,
,3946,,,,,15.083,
,10770,,,,,13.902,
,6429,,,,,13.447,
,14808,,,,,12.956,
,4453,,,,,12.499,
,10145,,,,,13,
,11857,,,,,14.765,
,8192,,,,,15.389,
,12843,,,,,12.738,
,11922,,,,,9.11,
,11657,,,,,9.519,
,8358,,,,,11.98,
,3848,,,,,13.315,
,8989,,,,,10.268,
,10501,,,,,15.422,
,794,,,,,13.869,
,54897,,,,,,
,53296,,,,,,
,54301,,,,,,
,40754,,,,,,
,42160,,,,,,
,67231,,,,,,
,58473,,,,,,
,48078,,,,,,
,45594,,,,,,
,34433,,,,,,
,41546,,,,,,
,50771,,,,,,
,42798,,,,,,
,47209,,,,,,
,56389,,,,,,
,36143,,,,,,
,37666,,,,,,
,10574,,,,,,
