"Careful Sex, 15-19","Careful Sex, 20-24","Careful Sex, 25-29","Careful Sex, 30-34","Careful Sex, 35-39","Careful Sex, 40- 44","Unsafe Sex, 15-19","Unsafe Sex, 20-24","Unsafe Sex, 25-29","Unsafe Sex, 30-34","Unsafe Sex, 35-39","Unsafe Sex, 40-44",Seeking Pregnancy,Pregnant
0,2,8,2,0,8,,,,,,,10,2
7,3,3,2,2,12,,,,,,,16,4
4,1,2,20,28,2,,,,,,,2,3
,17,1,8,0,0,,,,,,,2,10
,,7,0,6,1,,,,,,,15,15
,6,3,1,0,12,,,,,,,5,4
,2,10,12,1,6,,,,,,,5,
,3,10,6,0,4,,,,,,,0,
,0,2,8,3,4,,,,,,,,
,10,4,0,0,12,,,,,,,,
,0,1,1,4,2,,,,,,,,
,3,6,5,8,10,,,,,,,,
,1,12,10,4,5,,,,,,,,
,10,1,4,6,6,,,,,,,,
,3,2,15,6,1,,,,,,,,
,21,12,0,1,2,,,,,,,,
,1,4,6,10,2,,,,,,,,
,16,12,15,7,6,,,,,,,,
,1,4,7,0,8,,,,,,,,
,17,4,0,15,20,,,,,,,,
,1,1,1,4,5,,,,,,,,
,0,3,0,5,1,,,,,,,,
,2,22,1,4,8,,,,,,,,
,20,2,2,20,6,,,,,,,,
,8,12,2,12,10,,,,,,,,
,1,15,12,3,1,,,,,,,,
,3,0,1,2,8,,,,,,,,
,6,2,0,0,0,,,,,,,,
,5,0,2,1,4,,,,,,,,
,0,5,10,8,4,,,,,,,,
,0,7,20,4,1,,,,,,,,
,3,12,4,6,2,,,,,,,,
,6,0,10,16,4,,,,,,,,
,3,0,4,0,4,,,,,,,,
,4,6,4,4,4,,,,,,,,
,1,0,4,10,8,,,,,,,,
,8,5,10,6,,,,,,,,,
,4,0,10,2,12,,,,,,,,
,4,18,4,0,1,,,,,,,,
,8,20,0,4,3,,,,,,,,
,28,0,16,4,3,,,,,,,,
,2,0,3,0,2,,,,,,,,
,8,4,5,,3,,,,,,,,
,20,0,3,20,14,,,,,,,,
,2,0,0,1,0,,,,,,,,
,2,1,5,1,6,,,,,,,,
,0,3,0,9,5,,,,,,,,
,6,0,2,3,8,,,,,,,,
,2,3,2,3,0,,,,,,,,
,9,8,12,8,1,,,,,,,,
,15,15,1,20,3,,,,,,,,
,3,16,8,2,4,,,,,,,,
,0,0,30,20,4,,,,,,,,
,20,0,2,20,24,,,,,,,,
,0,2,2,16,12,,,,,,,,
,3,15,6,2,1,,,,,,,,
,28,18,6,1,5,,,,,,,,
,1,0,5,8,2,,,,,,,,
,40,9,8,2,2,,,,,,,,
