"Sexually Inactive, 15-20","Sexually Inactive, 21-26","Sexually Inactive, 27-32","Sexually Inactive, 33-38","Sexually Inactive, 39-42","Careful Sex, 15-20","Careful Sex, 21-26","Careful Sex, 27-32","Careful Sex, 33-38","Careful Sex, 39-42","Unsafe Sex, 15-20","Unsafe Sex, 21-26","Unsafe Sex, 27-32","Unsafe Sex, 33-38","Unsafe Sex, 39-42",Seeking Pregnancy,Pregnant
2,,,,,,7,1,3,5,,,,,,,
0,,,,,,2,3,0,0,,,,,,,
5,,,,,,1,10,5,2,,,,,,,
0,,,,,,8,0,0,0,,,,,,,
0,,,,,,1,0,3,2,,,,,,,
0,,,,,,2,0,1,2,,,,,,,
0,,,,,,1,0,0,2,,,,,,,
3,,,,,,1,0,0,0,,,,,,,
0,,,,,,1,0,0,1,,,,,,,
0,,,,,,4,10,6,1,,,,,,,
0,,,,,,4,1,2,2,,,,,,,
0,,,,,,20,10,2,3,,,,,,,
0,,,,,,5,2,2,0,,,,,,,
0,,,,,,,0,4,1,,,,,,,
0,,,,,,3,1,2,0,,,,,,,
1,,,,,,4,0,4,5,,,,,,,
0,,,,,,1,4,4,3,,,,,,,
0,,,,,,3,3,3,0,,,,,,,
5,,,,,,0,0,3,4,,,,,,,
0,,,,,,4,4,2,0,,,,,,,
0,,,,,,2,30,1,3,,,,,,,
0,,,,,,2,5,5,1,,,,,,,
0,,,,,,0,2,6,1,,,,,,,
0,,,,,,1,4,0,2,,,,,,,
0,,,,,,3,3,7,2,,,,,,,
1,,,,,,0,2,5,0,,,,,,,
0,,,,,,3,5,0,0,,,,,,,
0,,,,,,5,0,0,5,,,,,,,
0,,,,,,3,0,3,3,,,,,,,
0,,,,,,4,5,0,0,,,,,,,
1,,,,,,0,0,0,8,,,,,,,
0,,,,,,1,2,0,0,,,,,,,
0,,,,,,5,1,5,1,,,,,,,
0,,,,,,1,0,2,1,,,,,,,
0,,,,,,3,1,2,2,,,,,,,
2,,,,,,1,5,0,1,,,,,,,
0,,,,,,3,5,1,2,,,,,,,
0,,,,,,8,4,5,5,,,,,,,
0,,,,,,1,1,0,4,,,,,,,
0,,,,,,2,2,0,0,,,,,,,
0,,,,,,15,0,3,2,,,,,,,
0,,,,,,6,1,0,0,,,,,,,
0,,,,,,8,1,0,1,,,,,,,
0,,,,,,1,0,0,1,,,,,,,
7,,,,,,1,5,0,0,,,,,,,
2,,,,,,3,0,1,1,,,,,,,
0,,,,,,2,0,5,0,,,,,,,
0,,,,,,0,1,0,3,,,,,,,
0,,,,,,0,1,2,0,,,,,,,
0,,,,,,4,2,2,2,,,,,,,
0,,,,,,6,20,1,10,,,,,,,
0,,,,,,0,1,0,0,,,,,,,
1,,,,,,1,1,7,4,,,,,,,
0,,,,,,1,0,1,2,,,,,,,
0,,,,,,2,3,0,0,,,,,,,
0,,,,,,2,0,1,20,,,,,,,
0,,,,,,2,3,2,2,,,,,,,
