"Prevention 2","Prevention 1","Base Prime",Base,"No Additional Intervention"
13.09592,221.6314,3484.296,4192.412,14606
3.985714,66.61754,511.0857,805.2001,1947
0,14.94624,116.5146,200.9403,451
27.9,415.5056,1558.324,8756.97,14228
4.555101,96.51003,230.2439,462.3067,1787
3.985714,35.87099,85.41306,230.6738,780
136.0837,1279.398,2022.526,6194.142,22241
290.9571,1664.158,1960.787,5126.616,9004
5460.428,8559.927,8484.209,13351.26,20842
5814.587,1457.045,3222.486,3622.201,9569
2491.64,496.2153,1119.19,1803.667,4345
123.5571,18.78956,58.02518,125.1681,237
3391.273,449.6684,1418.599,9109.935,17083
3505.72,527.8159,1787.175,3951.187,13737
8352.917,2187.276,5853.58,8352.692,21650
1102.335,418.4948,887.0889,1284.292,2863
185.051,73.45011,164.3273,328.5063,655
2933.485,1418.185,2468.623,12593.06,21089
419.6387,230.5992,377.8599,747.172,2773
153.7347,73.87715,123.4776,370.7086,1180
3514.261,1997.245,3087.404,10720.81,33487
3548.993,2109.556,3008.489,7215.149,13519
260.1331,155.956,2099.155,2124.963,3038
104.0533,106.6028,4189.516,4734.472,6797
29.26498,30.59897,2130.486,2682.834,3888
3.251664,11.84476,992.1381,1632.491,2308
3.251664,2.96119,438.0798,883.3783,1355
3.251664,6.415912,3879.507,8643.532,14337
0,9.870634,5238.269,2763.592,11232
0,39.48254,5871.479,4366.852,11633
0,424.4373,6454.669,10285.44,15156
0,9.377102,49.46949,76.79397,113
0,251.7012,888.8018,2906.28,5838
0,255.6494,582.091,3174.316,5430
0,350.4075,578.2434,4789.466,6637
0,575.458,969.0523,7489.641,9321
0,511.2988,819.5445,4563.543,6033
0,1451.477,2520.196,9188.522,13528
0,1005.324,1685.81,3411.634,6498
0,521.1695,828.3391,1868.323,3594
0,185.0744,296.8169,1006.249,1889
0,937.7102,1683.612,12253.34,20796
0,2180.917,3549.711,4225.154,16863
0,5536.439,7652.38,6633.512,17861
0,9394.376,11081.17,15894.37,23021
0,75.01682,89.04508,122.3749,180
0,928.3331,1124.606,4513.503,8767
0,449.1138,541.9657,4877.655,8111
0,376.0712,419.941,7252.323,9853
0,486.6223,625.5142,11142.56,14012
0,378.0453,495.7942,6890.648,9202
0,1208.166,1670.42,14154.86,20036
32.56456,94.31899,517.7038,556.6983,591
27.91248,31.43966,1507.662,1977.446,2101
0,2.858151,1139.09,1773.434,1884
0,2.858151,1508.372,3054.173,3245
0,0,350.107,859.3821,913
0,0,3686.421,9269.193,10623
0,0,5485.956,2214.792,9473
0,0,8082.287,4325.579,12341
0,0,351.5273,307.3508,572
0,0,88.76952,228.6796,222
0,0,769.0991,9609.212,6881
0,0,198.8437,652.7037,1872
0,0,3310.748,3817.55,18471
0,0,5086.138,5623.652,8635
0,0,2173.078,4188.904,3016
0,0,2793.754,8999.177,5187
0,0,1082.278,3732.212,2959
0,0,791.114,3655.541,3931
0,0,142.0312,864.049,1060
0,0,938.1163,12167.36,14931
0,0,2957.8,6974.396,14765
0,0,12762.93,11494.65,19558
0,0,589.4296,581.3663,917
0,0,166.1765,279.3492,346
0,0,1078.727,10383.92,10203
0,0,248.5547,1742.766,2758
0,0,3546.52,16599.61,28115
0,0,5911.34,7033.066,13365
0,0,2991.888,3607.538,4329
0,0,3914.381,8307.805,7872
627.8985,1333.773,3693.629,3958.654,5666
224.2495,621.8142,4401.736,5592.142,8158
44.84989,174.7703,2189.031,2415.943,4872
0,5.519061,29.46065,35.02797,81
0,0,306.7064,697.5993,1510
0,0,14.73032,28.12105,56
0,0,184.129,1912.725,3703
0,0,643.9256,7811.238,12816
0,0,4143.43,1819.974,14840
0,0,519.2439,129.2581,1038
0,0,6149.384,3532.398,13181
0,0,29.98673,29.6011,81
0,0,257.7807,3175.705,2950
0,0,2920.813,19752.32,32928
0,0,5345.529,4762.817,13703
0,0,5717.47,5613.849,11877
0,0,1980.702,4637.506,6534
0,0,27.35632,79.42963,81
0,0,83.64719,2052.836,2159
0,0,3.156498,76.46952,77
0,0,14.73032,5319.812,5374
0,0,15.78249,12068.37,19742
0,0,120.9991,2294.085,22273
0,0,19.46507,165.2728,1523
0,0,744.4074,5148.125,19605
0,0,6.839079,48.34847,145
0,0,162.5596,4898.489,4367
0,0,5338.69,29546.34,49910
0,0,12368.21,7119.559,20767
0,0,8459.414,8666.216,18129
156.0638,392.6675,5301.703,4805.957,6729
68.5735,152.0003,6903.373,6775.254,10267
16.55223,150.5929,6571.638,4439.659,13357
4.729207,67.55569,2836.43,2591.447,9037
0,16.88892,878.1591,1270.139,3453
0,2.814821,172.8421,368.8316,895
0,0,1.212927,6.586279,10
0,0,1.212927,6.586279,6
0,0,5.458171,143.8849,332
0,0,32.74903,3058.567,6949
0,0,60.64634,8533.791,13571
0,0,55.79464,3561.15,7315
0,0,573.7144,9199.511,21959
0,0,266.2375,1180.97,4461
0,0,1211.108,3910.223,13926
0,0,2617.496,7910.627,16769
0,0,4968.755,10657.11,19685
0,0,3709.737,2814.874,13237
0,0,1044.937,1187.557,5228
0,0,144.3383,341.4732,1395
0,0,0.606463,3.546458,14
0,0,1.212927,5.066368,15
0,0,1.81939,122.0995,519
0,0,4.245244,2755.598,10881
0,0,3.638781,10740.19,20649
0,0,4.851708,7106.595,10657
0,0,12.73573,17730.77,32474
0,0,4.851708,1768.163,6740
